wind_speed,wind_direction,grid_current,grid_voltage,production
2.9,200.7,56.7,373.4,-398.7387
2.2,187.8,54.9,373.7,-3435.7190
1.7,195.0,54.1,372.9,-3809.9242
1.2,222.5,54.1,373.2,-3713.9317
1.8,174.8,52.8,373.8,-3565.5880
0.7,150.9,51.6,374.1,-3656.3564
1.9,166.8,52.6,374.0,-3833.2348
1.4,162.6,53.1,374.5,-3574.2302
1.5,121.5,53.1,374.5,-3633.3095
1.3,101.8,53.0,374.4,-3733.9682
1.8,94.3,53.3,374.2,-3642.9887
1.7,91.1,53.1,374.0,-3570.5825
2.0,127.2,61.1,373.8,-3663.3601
1.3,127.8,38.0,374.6,-2850.4299
1.0,138.8,19.9,375.3,-2166.1280
2.0,140.1,21.0,375.4,-2399.0578
2.0,132.8,19.9,374.3,-2249.7907
1.9,119.8,20.8,370.8,-2524.7315
2.7,126.9,59.1,371.0,-1330.8572
1.2,134.3,61.2,371.9,-3633.4608
1.8,131.9,60.9,372.5,-3621.0082
2.6,130.7,62.4,372.5,-3995.0394
3.2,123.4,63.7,372.2,2821.7907
4.6,128.3,217.2,373.4,38364.2013
5.7,137.3,359.1,373.2,66473.3354
6.6,149.6,638.2,373.6,118975.8720
7.0,157.9,606.2,372.9,112964.4037
6.1,146.9,526.1,372.6,97939.3430
5.4,140.1,324.8,373.4,60106.7336
5.7,136.3,385.2,373.5,71668.1571
6.5,139.5,595.9,375.0,111639.9793
7.4,136.7,857.7,375.4,161200.6213
5.5,127.8,461.9,374.7,86186.5626
6.5,131.2,586.9,374.5,109735.6955
5.6,129.8,479.8,374.2,89459.6393
5.6,134.5,423.1,374.1,78495.0947
6.0,131.9,548.9,374.7,102563.9513
6.6,136.8,636.8,375.3,119293.4734
6.7,135.9,715.4,375.1,134435.1710
6.8,142.1,774.9,376.1,145744.2404
7.8,142.4,1048.0,376.5,197603.1873
7.3,146.3,859.1,376.2,161532.1274
6.9,141.5,634.8,375.3,119163.4023
6.4,141.5,561.0,375.4,105081.6987
6.2,142.2,501.0,375.0,93754.9222
5.8,141.9,457.5,375.5,85519.2893
5.7,147.1,353.9,374.8,65871.4037
5.8,135.0,498.3,374.9,92855.2340
5.4,135.7,365.9,374.8,67872.6268
3.6,118.2,74.0,373.8,1308.5668
2.8,139.1,57.2,373.2,-3171.8153
4.1,250.4,123.1,373.5,14550.2703
2.4,86.4,53.8,372.8,-4480.4738
2.2,37.8,55.7,372.8,-4708.2374
3.2,258.6,55.2,372.7,-4891.1616
2.2,2.5,55.7,372.3,-5425.0043
2.9,24.3,56.7,372.0,-5234.9052
1.9,63.3,52.9,371.8,-4186.7217
4.4,62.8,145.9,371.9,23233.7176
3.3,54.0,77.1,371.9,8690.6416
3.8,83.0,121.2,371.9,19272.5691
3.4,86.5,96.7,372.1,12359.8955
2.0,127.4,55.0,371.7,-3964.9004
2.9,108.5,52.6,371.8,1843.2355
3.5,115.4,126.8,371.9,16297.7022
6.7,136.5,652.4,372.3,121240.2949
5.4,140.3,501.5,372.3,92665.2232
5.9,145.0,507.1,374.3,94581.3350
6.4,133.6,700.1,375.7,131337.8312
8.0,137.8,1063.9,376.4,200691.4652
7.2,141.8,779.2,375.8,146379.7105
6.7,145.0,797.0,375.5,149843.7944
6.5,142.9,765.2,376.0,143500.5319
7.4,140.6,920.4,375.5,172579.9752
8.9,145.3,1681.8,376.8,316998.6185
8.5,149.2,1497.7,375.7,282151.8354
7.4,149.6,1142.9,375.2,214903.9639
7.3,158.0,1087.1,374.1,203995.6298
7.5,161.4,1053.1,373.9,196947.8556
6.5,160.1,658.1,372.6,122485.1846
5.5,153.2,456.0,372.2,84486.1632
5.7,136.2,420.5,372.7,77835.4637
5.8,133.8,401.2,372.3,74165.2465
6.0,134.5,382.1,372.4,70459.1085
6.1,137.0,589.1,372.4,109527.1770
6.7,137.6,761.0,372.7,141998.8962
6.3,132.3,648.1,373.6,120673.6743
7.0,131.1,881.9,373.7,164957.9099
7.3,130.5,925.0,374.9,173041.0373
8.8,135.9,1464.1,375.7,275480.6650
8.1,133.0,1139.8,375.3,213999.6591
6.5,128.0,734.7,374.8,137653.5801
5.7,128.7,481.1,373.9,89486.7938
6.8,131.3,873.8,374.4,163567.0580
6.3,130.0,759.8,374.0,142439.0641
7.2,132.4,1080.9,373.9,202310.1993
8.1,133.4,1088.8,373.7,204086.9459
6.7,132.0,868.7,374.3,162850.8805
7.2,134.6,914.0,374.3,170951.4696
7.0,133.5,794.2,374.2,148404.9132
7.8,132.7,1117.0,374.6,209016.0642
7.7,133.1,1045.2,374.3,195309.7837
8.9,133.2,1474.3,375.0,276720.6499
8.7,133.5,1538.8,375.2,288927.1178
8.7,134.2,1461.6,375.6,275303.0162
9.7,133.8,1831.2,376.1,344492.4694
9.0,133.7,1598.8,375.6,301081.6467
8.5,134.0,1488.9,375.7,280198.1013
9.1,134.8,1629.2,375.3,306024.7722
8.0,136.0,1299.2,374.9,244173.8217
8.4,135.3,1223.8,374.6,229957.5107
6.5,132.1,769.0,374.1,144042.5055
5.3,129.1,409.7,374.1,76341.7589
